rev bandwidth latency start_time key_size num_parties set_size old_method strategy result
cd5dfcceb7d8664088b9e23c33bcfddbfd49cb06 None None 1472742240.01 80 5 1024 False BLOOM_FILTER |(0.27768466666666664, 514192)||(0.22187733333333334, 558936)||(0.19173099999999998, 564370)||(0.20516533333333334, 606903)||(0.206086, 572398)|
cd5dfcceb7d8664088b9e23c33bcfddbfd49cb06 None None 1472742249.29 80 5 1024 False POLYNOMIALS_SIMPLE_HASH |(1.1236403333333334, 509998)||(1.0141876666666667, 301456)||(1.0180653333333334, 301761)||(1.0152083333333335, 301723)||(1.0153873333333332, 317250)|
cd5dfcceb7d8664088b9e23c33bcfddbfd49cb06 None None 1472742261.08 80 5 1024 False GAUSS_SIMPLE_HASH |(1.0270386666666667, 512264)||(0.15410933333333335, 756119)||(0.14759566666666665, 549211)||(0.15437066666666666, 777606)||(0.14941333333333331, 603951)|
cd5dfcceb7d8664088b9e23c33bcfddbfd49cb06 None None 1472742272.55 80 5 4096 False BLOOM_FILTER |(0.5323206666666667, 2074600)||(0.3323163333333334, 3231157)||(0.32553566666666667, 3237380)||(0.3323143333333334, 3351876)||(0.3366443333333333, 3344900)|
cd5dfcceb7d8664088b9e23c33bcfddbfd49cb06 None None 1472742282.58 80 5 4096 False POLYNOMIALS_SIMPLE_HASH |(5.575894666666667, 2066333)||(5.252952666666666, 2288444)||(5.262708666666668, 2380318)||(5.29796, 2346070)||(5.270119666666667, 2443153)|
cd5dfcceb7d8664088b9e23c33bcfddbfd49cb06 None None 1472742307.78 80 5 4096 False GAUSS_SIMPLE_HASH |(4.795460666666666, 2078256)||(0.16589866666666667, 4148963)||(0.171655, 4390842)||(0.1768346666666667, 4422288)||(0.17865033333333336, 4403672)|
cd5dfcceb7d8664088b9e23c33bcfddbfd49cb06 None None 1472742330.66 80 5 16384 False BLOOM_FILTER |(1.7073469999999997, 8637004)||(0.927825, 14319140)||(0.9397296666666667, 14150922)||(0.9337366666666665, 14034029)||(0.9300843333333333, 14130970)|
cd5dfcceb7d8664088b9e23c33bcfddbfd49cb06 None None 1472742344.31 80 5 16384 False POLYNOMIALS_SIMPLE_HASH |(28.75452866666667, 8830390)||(27.560243, 12364382)||(27.471545666666668, 12259701)||(27.47478266666667, 12419687)||(27.41975933333333, 12266037)|
cd5dfcceb7d8664088b9e23c33bcfddbfd49cb06 None None 1472742439.28 80 5 16384 False GAUSS_SIMPLE_HASH |(23.969175333333336, 8775514)||(0.3133793333333333, 22877425)||(0.3125873333333333, 22091276)||(0.3066486666666666, 22773468)||(0.3254546666666666, 23135199)|
cd5dfcceb7d8664088b9e23c33bcfddbfd49cb06 None None 1472742519.85 80 5 65536 False BLOOM_FILTER |(6.728115333333334, 23751476)||(3.2364316666666664, 61638880)||(3.231779, 62718108)||(3.2290463333333332, 62683597)||(3.264347666666666, 63314417)|
cd5dfcceb7d8664088b9e23c33bcfddbfd49cb06 None None 1472742549.11 80 5 65536 False POLYNOMIALS_SIMPLE_HASH |(145.372479, 24506794)||(139.54035066666665, 57087814)||(139.66445066666668, 57091497)||(139.52237266666666, 57088476)||(139.85920566666667, 57089413)|
cd5dfcceb7d8664088b9e23c33bcfddbfd49cb06 None None 1472742994.74 80 5 65536 False GAUSS_SIMPLE_HASH |(117.302371, 24565378)||(0.8654626666666667, 123118725)||(0.9095416666666667, 123261972)||(0.8303513333333333, 122763668)||(0.8454793333333334, 122664306)|
cd5dfcceb7d8664088b9e23c33bcfddbfd49cb06 None None 1472743355.82 80 5 262144 False BLOOM_FILTER |(29.456465666666663, 95287165)||(14.600140666666666, 257172732)||(14.783372666666667, 258587125)||(14.504204666666666, 257176745)||(14.765706333333332, 257621985)|
cd5dfcceb7d8664088b9e23c33bcfddbfd49cb06 None None 1472743457.6 80 5 262144 False POLYNOMIALS_SIMPLE_HASH |(717.2293786666665, 99290274)||(691.4078303333334, 256773125)||(686.9638540000001, 256771884)||(687.4120433333334, 256780533)||(690.091972, 256795033)|
cd5dfcceb7d8664088b9e23c33bcfddbfd49cb06 None None 1472745622.59 80 5 262144 False GAUSS_SIMPLE_HASH |(569.2166050000001, 99901405)||(4.661994333333333, 621180858)||(4.548728333333333, 621232752)||(3.9439530000000005, 621346365)||(3.8716503333333336, 620379363)|
